ID,Math,English,Science,Average,GRADE
ST-0000,62,76,69,69,D
ST-0001,84,64,80,76,C
ST-0002,78,98,86,87.33,B
ST-0003,93,90,91,91.33,A
ST-0004,65,96,99,86.67,B
ST-0005,84,99,96,93,A
ST-0006,75,68,82,75,C
ST-0007,60,69,89,72.67,C
ST-0008,65,85,88,79.33,C
ST-0009,65,67,84,72,C
ST-0010,83,79,61,74.33,C
ST-0011,79,84,80,81,B
ST-0012,63,82,98,81,B
ST-0013,64,78,67,69.67,D
ST-0014,97,65,98,86.67,B
ST-0015,63,81,98,80.67,B
ST-0016,66,72,97,78.33,C
ST-0017,73,93,71,79,C
ST-0018,70,95,73,79.33,C
ST-0019,98,88,71,85.67,B
ST-0020,68,72,81,73.67,C
ST-0021,67,90,74,77,C
ST-0022,82,88,93,87.67,B
ST-0023,96,64,63,74.33,C
ST-0024,81,98,93,90.67,A
ST-0025,61,84,68,71,C
ST-0026,82,60,95,79,C
ST-0027,87,70,82,79.67,C
ST-0028,97,78,89,88,B
ST-0029,66,79,83,76,C
ST-0030,81,97,66,81.33,B
ST-0031,72,100,85,85.67,B
ST-0032,69,61,65,65,D
ST-0033,98,76,74,82.67,B
ST-0034,97,81,79,85.67,B
ST-0035,81,82,63,75.33,C
ST-0036,85,70,65,73.33,C
ST-0037,78,70,97,81.67,B
ST-0038,63,69,70,67.33,D
ST-0039,82,80,89,83.67,B
ST-0040,81,86,99,88.67,B
ST-0041,78,69,60,69,D
ST-0042,94,89,89,90.67,A
ST-0043,63,84,95,80.67,B
ST-0044,79,95,78,84,B
ST-0045,84,77,82,81,B
ST-0046,84,63,98,81.67,B
ST-0047,74,83,72,76.33,C
ST-0048,97,89,79,88.33,B
ST-0049,99,96,77,90.67,A
ST-0050,88,100,60,82.67,B
ST-0051,85,62,81,76,C
ST-0052,82,74,62,72.67,C
ST-0053,96,98,81,91.67,A
ST-0054,86,66,84,78.67,C
ST-0055,75,76,60,70.33,C
ST-0056,92,82,69,81,B
ST-0057,84,64,84,77.33,C
ST-0058,91,80,93,88,B
ST-0059,83,100,80,87.67,B
ST-0060,75,88,89,84,B
ST-0061,87,89,74,83.33,B
ST-0062,77,73,70,73.33,C
ST-0063,74,85,96,85,B
ST-0064,91,94,94,93,A
ST-0065,67,92,90,83,B
ST-0066,91,92,98,93.67,A
ST-0067,87,87,83,85.67,B
ST-0068,62,93,75,76.67,C
ST-0069,64,64,74,67.33,D
ST-0070,77,92,81,83.33,B
ST-0071,62,71,80,71,C
ST-0072,90,81,97,89.33,B
ST-0073,69,93,86,82.67,B
ST-0074,74,69,60,67.67,D
ST-0075,69,88,67,74.67,C
ST-0076,93,93,88,91.33,A
ST-0077,79,80,92,83.67,B
ST-0078,95,89,66,83.33,B
ST-0079,88,98,80,88.67,B
ST-0080,84,87,62,77.67,C
ST-0081,95,87,71,84.33,B
ST-0082,92,67,88,82.33,B
ST-0083,90,98,60,82.67,B
ST-0084,100,86,79,88.33,B
ST-0085,93,98,99,96.67,A
ST-0086,85,92,67,81.33,B
ST-0087,64,98,94,85.33,B
ST-0088,92,86,79,85.67,B
ST-0089,98,79,96,91,A
ST-0090,73,92,82,82.33,B
ST-0091,76,92,89,85.67,B
